rxn00868 	 Acyl-CoA dehydrogenase (butanoyl-CoA) 
rxn10074 	 Fatty acid oxidation (Butanoyl-CoA ) 
rxn01729 	 Glutarate-semialdehyde:NAD+ oxidoreductase 
rxn01068 	 L-threonine dehydrogenase 
rxn01314 	 NADPH:6,7-dihydropteridine oxidoreductase 
rxn05039 	 pyrimidine phosphatase 
rxn01355 	 Propionyl-CoA carboxylase 
rxn13912 	 UDP-N-acetyl-mannosamine aminase 
rxn05064 	 carbamate hydro-lyase 
rxn05467 	 CO2 transporter via diffusion 
rxn05319 	 H2O transport via diffusion 
rxn10577 	 N2tr 
rxn05468 	 O2 transport  diffusion 
rPY00182 	 Cyclopropanation Cardiolipin(n-C19:0cyc) 
rxn13868 	 L-rhamnotransferase 
rxn13876 	 Pseudomonas aeruginosa LPS A-band synthesis 
rxn13871 	 Pseudomonas aeruginosa LPS lumped L-ala and CONH2 addition reaction 
rPY00180 	 S-adenosylmethionine decarboxylase proenzyme 
rPY00166 	 S-Adenosylmethionine decarboxylase proenzyme (PE170cyc) 
rPY00171 	 S-Adenosylmethionine decarboxylase proenzyme (PE190cyc) 
rPY00174 	 S-Adenosylmethionine decarboxylase proenzyme (PG170cyc) 
rPY00177 	 S-Adenosylmethionine decarboxylase proenzyme (PG190cyc) 
rxn13926 	 UDP-N-acetyl-mannosamine (2NAc3N) acid (CH3C=NH) addase 
rxn02250 	 1,3-diaminopropane oxidase 
rxn01093 	 2,3-dihydroxybenzoate adenylate synthase 
rxn05118 	 4-aminobutanoate cyclization reaction 
rxn13799 	 5mta transport irreversible, extracellular 
rxn01748 	 Allantoinase 
rxn05495 	 BALAt2r 
rxn05511 	 Butanediol transport in/out via proton symport 
rxn13789 	 delta-aminovalerate aminotransferase 
rxn13921 	 delta-aminovalerate synthesis 
rxn13822 	 deoxyadenosine transport 
rxn13825 	 Diamine oxidase 
rxn09683 	 Ethanol reversible transport 
EX_cpd00797(e) 	 EX (R)-3-Hydroxybutanoate e 
EX_cpd17085(e) 	 EX 2-heptyl-3-hydroxy-4-quinolone e 
EX_cpd00176(e) 	 EX 2-keto-3-deoxygluconate e 
EX_cpd00024(e) 	 EX 2-Oxoglutarate 
EX_cpd00489(e) 	 EX 4-Hydroxyphenylacetate 
EX_cpd00029(e) 	 EX Acetate 
EX_cpd00142(e) 	 EX Acetoacetate e 
EX_cpd00182(e) 	 EX Adenosine e 
EX_cpd11587(e) 	 EX Ala-Gln e 
EX_cpd11584(e) 	 EX Ala-His e 
