id	name
G_PA14_52900	PA14_52900
G_PA14_31580	PA14_31580
G_PA14_06600	PA14_06600
G_PA14_31540	acdA
G_PA14_43460	paaH
G_PA14_17860	paaH
G_PA14_42080	fadB
G_PA14_25080	foaA
G_PA14_68530	PA14_68530
G_PA14_38840	exaC
G_PA14_64740	pchA
G_PA14_70140	aldH
G_PA14_51050	pcd
G_PA14_30180	idh
G_PA14_30190	icd
G_PA14_24950	glpD2
G_PA14_17930	glpD
G_PA14_54620	PA14_54620
G_PA14_01600	mmsA
G_PA14_18120	mmsA
G_PA14_02450	PA14_02450
G_PA14_02470	pntB
G_PA14_02680	aldH
G_PA14_54450	nadB
G_PA14_51330	nadA
G_PA14_44760	PA14_44760
G_PA14_44740	xdhB
G_PA14_44710	xdhA
G_PA14_44060	sdhC
G_PA14_44050	sdhD
G_PA14_44030	sdhA
G_PA14_44020	sdhB
G_PA14_43970	lpdG
G_PA14_63850	lpd3
G_PA14_35490	lpdV
G_PA14_41540	nirD
G_PA14_41530	nirB
G_PA14_26485	PA14_26485
G_PA14_10550	cysI
G_PA14_40770	cysI
G_PA14_11810	PA14_11810
G_PA14_34600	gapB
G_PA14_25250	gapA
G_PA14_29920	nuoI
G_PA14_29860	nuoM
G_PA14_29850	nuoN
G_PA14_29940	nuoG
G_PA14_29900	nuoJ
G_PA14_29890	nuoK
G_PA14_29970	nuoF
G_PA14_30020	nuoA
G_PA14_29880	nuoL
G_PA14_29990	nuoD
G_PA14_29980	nuoE
G_PA14_29930	nuoH
G_PA14_30010	nuoB
G_PA14_23070	zwf
G_PA14_71800	zwf
G_PA14_54670	PA14_54670
G_PA14_48020	PA14_48020
G_PA14_45430	PA14_45430
G_PA14_43680	fabA
G_PA14_43640	gpsA
G_PA14_41170	fabI
G_PA14_38440	gnyD
G_PA14_25660	fabG
G_PA14_25390	sth
G_PA14_23790	leuB
G_PA14_22890	gapA
G_PA14_40890	PA14_40890
G_PA14_43180	PA14_43180
G_PA14_25970	cobN
G_PA14_39640	PA14_39640
G_PA14_35290	gnd
G_PA14_35270	PA14_35270
G_PA14_35300	PA14_35300
G_PA14_32100	xylY
G_PA14_32110	xylZ
G_PA14_32080	xylX
G_PA14_30280	trxB1
G_PA14_53290	trxB2
G_PA14_26650	PA14_26650
G_PA14_11130	PA14_11130
G_PA14_10890	PA14_10890
G_PA14_20270	rhlG
G_PA14_63640	fadH2
G_PA14_24170	fadH1
G_PA14_23800	asd
G_PA14_23450	orfM
G_PA14_18580	algD
G_PA14_18300	PA14_18300
G_PA14_38360	ugd
G_PA14_18140	mmsB
G_PA14_36270	PA14_36270
G_PA14_17400	adhC
G_PA14_37090	gbsA
G_PA14_09710	aldH
G_PA14_70950	betB
G_PA14_11190	styD
G_PA14_11000	hpaA
G_PA14_10990	hpaC
G_PA14_09240	pchD
G_PA14_09290	pchG
G_PA14_09280	pchF
G_PA14_09270	pchE
G_PA14_65760	PA14_65760
G_PA14_58870	ndh
G_PA14_63570	fdnI
G_PA14_63580	fdnH
G_PA14_63605	fdnG
G_PA14_44010	sucA
G_PA14_44000	sucB
G_PA14_66290	aceA
G_PA14_19900	PA14_19900
G_PA14_66310	aceF
G_PA14_19910	pdhB
G_PA14_66560	gltD
G_PA14_66570	gltB
G_PA14_66680	maeB
G_PA14_19190	sfcA
G_PA14_16390	PA14_16390
G_PA14_70940	betA
G_PA14_04780	PA14_04780
G_PA14_10850	PA14_10850
G_PA14_37100	PA14_37100
G_PA14_00250	qor
G_PA14_00290	aroE
G_PA14_03050	pobA
G_PA14_03430	gabD
G_PA14_04110	serA
G_PA14_04580	folA
G_PA14_05150	proC
G_PA14_05590	metF
G_PA14_05840	gcdH
G_PA14_07170	epd
G_PA14_07740	pdxA
G_PA14_08480	argC
G_PA14_54170	putA
G_PA14_53950	prpC
G_PA14_52670	aruD
G_PA14_52270	ldhA
