id	name	subsystem
rxn05289	Thioredoxin reductase (NADPH)	Pyrimidine metabolism
rxn06076	Ribonucleoside-diphosphate reductase (CDP)	Pyrimidine metabolism
rxn06075	Ribonucleoside-diphosphate reductase (UDP)	Pyrimidine metabolism
rxn00711	Uracil phosphoribosyltransferase	Pyrimidine metabolism
rxn00776	yUMP synthetase	Pyrimidine metabolism
rxn01520	Thymidylate synthase	Pyrimidine metabolism
rxn01018	Aspartate carbamoyltransferase	Pyrimidine metabolism
rxn00717	Cytosine deaminase	Pyrimidine metabolism
rxn00710	Orotidine-5&apos;-phosphate decarboxylase	Pyrimidine metabolism
rxn01513	DTMP kinase	Pyrimidine metabolism
rxn01360	Dihydoorotic acid dehydrogenase  irreversible 	Pyrimidine metabolism
rxn08335	Dihydoorotic acid dehydrogenase (quinone8)	Pyrimidine metabolism
rxn36698	dihydoorotic acid dehydrogenase (quinone9)	Pyrimidine metabolism
rxn08336	Dihydroorotic acid (menaquinone-8)	Pyrimidine metabolism
rxn00364	Cytidylate kinase (CMP)	Pyrimidine metabolism
rxn01219	Cytidylate kinase (dCMP)	Pyrimidine metabolism
rxn01672	dCTP deaminase	Pyrimidine metabolism
rxn01465	Dihydroorotase	Pyrimidine metabolism
rxn00363	5&apos;-nucleotidase (CMP)	Pyrimidine metabolism
rxn01218	5&apos;-nucleotidase (dCMP)	Pyrimidine metabolism
rxn01145	5&apos;-nucleotidase (dTMP)	Pyrimidine metabolism
rxn00708	5&apos;-nucleotidase (UMP)	Pyrimidine metabolism
rxn00412	CTP synthase (glutamine)	Pyrimidine metabolism
rxn00410	UTPammonia ligase(ADP-forming)	Pyrimidine metabolism
rxn00119	UMP kinase	Pyrimidine metabolism
rxn01517	Uridylate kinase (dUMP)	Pyrimidine metabolism
rxn00409	Nucleoside-diphosphate kinase (ATP:CDP)	Pyrimidine metabolism
rxn01673	Nucleoside-diphosphate kinase (ATP:dCDP)	Pyrimidine metabolism
rxn01512	Nucleoside-diphosphate kinase (ATP:dTDP)	Pyrimidine metabolism
rxn01678	Nucleoside-diphosphate kinase (ATP:dUDP)	Pyrimidine metabolism
rxn00117	Nucleoside-diphosphate kinase (ATP:UDP)	Pyrimidine metabolism
rxn01514	NTP9	Pyrimidine metabolism
rxn01519	DUTP diphosphatase	Pyrimidine metabolism
rxn01362	Orotate phosphoribosyltransferase	Pyrimidine metabolism
rxn02122	Aldehyde dehydrogenase  D Glucuronolactone  NADH 	Ascorbate and aldarate metabolism
rxn02569	Selenophosphate synthase	Selenoamino acid metabolism
rxn06493	Glycine-cleavage complex	Glyoxylate and dicarboxylate metabolism
rxn00248	Malate dehydrogenase	Glyoxylate and dicarboxylate metabolism
rxn00371	Formate dehydrogenase	Glyoxylate and dicarboxylate metabolism
rxn00979	glycoaldehyde:NAD+ oxidoreductase	Glyoxylate and dicarboxylate metabolism
rxn00256	Citrate synthase	Glyoxylate and dicarboxylate metabolism
rxn00980	Phosphoglycolate phosphatase	Glyoxylate and dicarboxylate metabolism
rxn00691	Formyltetrahydrofolate deformylase	Glyoxylate and dicarboxylate metabolism
rxn00330	Malate synthase	Glyoxylate and dicarboxylate metabolism
rxn00010	Glyoxalate carboligase	Glyoxylate and dicarboxylate metabolism
rxn01355	Propionyl-CoA carboxylase	Glyoxylate and dicarboxylate metabolism
rxn00336	Isocitrate lyase	Glyoxylate and dicarboxylate metabolism
rxn00374	FORAMD	Glyoxylate and dicarboxylate metabolism
rxn00251	Phosphoenolpyruvate carboxylase	Glyoxylate and dicarboxylate metabolism
rxn01996	Methylmalonyl-CoA epimerase	Glyoxylate and dicarboxylate metabolism
rxn00602	Methylmalonyl-CoA mutase	Glyoxylate and dicarboxylate metabolism
rxn00214	UDPglucose 4-epimerase	Galactose metabolism
rxn00701	UDPglucose--hexose-1-phosphate uridylyltransferase	Galactose metabolism
rxn02314	Phosphofructokinase	Galactose metabolism
rxn06280	Tyrosyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06439	Histidyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06447	Threonyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06443	Methionyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06441	Leucyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06448	Tryptophanyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn06432	Arginyl-tRNA synthetase	Aminoacyl-tRNA biosynthesis
rxn02465	N-acetyl-g-glutamyl-phosphate reductase	Urea cycle and metabolism of amino groups
rxn02373	Glutamate-5-semialdehyde dehydrogenase	Urea cycle and metabolism of amino groups
rxn00405	Arginine decarboxylase	Urea cycle and metabolism of amino groups
rxn00101	urease	Urea cycle and metabolism of amino groups
rxn00179	Glutamate 5-kinase	Urea cycle and metabolism of amino groups
rxn00192	N-acetylglutamate synthase	Urea cycle and metabolism of amino groups
rxn00469	acetylornithine deacetylase	Urea cycle and metabolism of amino groups
rxn02305	Thiamine-phosphate diphosphorylase	Thiamine metabolism
rxn01538	Thiamine kinase	Thiamine metabolism
rxn02484	Hydroxymethylpyrimidine kinase (ATP)	Thiamine metabolism
rxn03108	Phosphomethylpyrimidine kinase	Thiamine metabolism
rxn00438	Thiamine-phosphate kinase	Thiamine metabolism
rxn09997	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	Thiamine metabolism
rxn00728	Kynureninase	Tryptophan metabolism
rxn01437	N Formyl L kynurenine amidohydrolase	Tryptophan metabolism
rxn00478	L Tryptophanoxygen 2 3 oxidoreductase  decyclizing 	Tryptophan metabolism
rxn08291	D-Amino acid dehydrogenase	Alanine, aspartate and glutamate metabolism
rxn00416	Asparagine synthase (glutamine-hydrolysing)	Alanine, aspartate and glutamate metabolism
rxn04092	D-amino acid oxidase	Alanine, aspartate and glutamate metabolism
rxn00342	L-asparaginase	Alanine, aspartate and glutamate metabolism
rxn00283	Alanine racemase	Alanine, aspartate and glutamate metabolism
rxn00189	glutaminase	Alanine, aspartate and glutamate metabolism
rxn00191	L-alanine transaminase	Alanine, aspartate and glutamate metabolism
rxn00851	D-alanine-D-alanine ligase (reversible)	Alanine, aspartate and glutamate metabolism
rxn02286	UDP-N-acetylmuramoyl-L-alanine synthetase	Alanine, aspartate and glutamate metabolism
rxn00193	Glutamate racemase	Alanine, aspartate and glutamate metabolism
rxn00347	L-aspartase	Alanine, aspartate and glutamate metabolism
rxn01729	Glutarate-semialdehyde:NAD+ oxidoreductase	Lysine degradation
rxn00322	Lysine decarboxylase	Lysine degradation
rxn13789	delta-aminovalerate aminotransferase	Lysine degradation
rxn13825	Diamine oxidase	Lysine degradation
rxn01730	Glutaryl-CoA synthetase	Lysine degradation
rxn13872	Pseudomonas Lipid A Reaction	Lipopolysaccharide biosynthesis
rxn13877	Pseudomonas aeruginosa LPS B band synthesis	Lipopolysaccharide biosynthesis
rxn13870	Pseudomonas aeruginosa LPS lumped 2,4,and 6 heptokinases	Lipopolysaccharide biosynthesis
rxn03919	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	Lipopolysaccharide biosynthesis
rxn13884	UDP-diacyl-GlcN pyrophosphatase	Lipopolysaccharide biosynthesis
rxn00213	UTP-glucose-1-phosphate uridylyltransferase (irreversible)	Lipopolysaccharide biosynthesis
rxn02405	3-deoxy-manno-octulosonate cytidylyltransferase	Lipopolysaccharide biosynthesis
rxn13880	Pseudomonas Tetraacyldisaccharide 4&apos;kinase	Lipopolysaccharide biosynthesis
rxn13833	Fuc2NAc-PP-undecap synthesis	Lipopolysaccharide biosynthesis
rxn08040	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	Lipopolysaccharide biosynthesis
rxn13922	Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-undecap synthesis	Lipopolysaccharide biosynthesis
rxn00297	UDP-N-acetylglucosamine 2-epimerase	Lipopolysaccharide biosynthesis
rxn13923	Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-undecap synthesis	Lipopolysaccharide biosynthesis
rxn13912	UDP-N-acetyl-mannosamine aminase	Lipopolysaccharide biosynthesis
rxn13911	UDP-N-acetyl-mannosamine-3-N dehydrogenase	Lipopolysaccharide biosynthesis
rxn13873	Pseudomonas lipid A reaction 2	Lipopolysaccharide biosynthesis
rxn03511	ADP-D-glycero-D-manno-heptose epimerase	Lipopolysaccharide biosynthesis
rxn02331	3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase	Lipopolysaccharide biosynthesis
rxn13874	pseudomonas Lipid A disaccaride synthase	Lipopolysaccharide biosynthesis
rxn13882	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	Lipopolysaccharide biosynthesis
rxn13881	Pseudomonas UDP-3-O-(acyl)glucosamine acyltransferase	Lipopolysaccharide biosynthesis
rxn13883	UDP-3-0-acyl N-acetylglucosamine deacetylase	Lipopolysaccharide biosynthesis
rxn03917	sedoheptulose 7-phosphate isomerase	Lipopolysaccharide biosynthesis
rxn01117	Arabinose-5-phosphate isomerase	Lipopolysaccharide biosynthesis
rxn02404	3-deoxy-manno-octulosonate-8-phosphatase	Lipopolysaccharide biosynthesis
rxn13878	3-deoxy-D-manno-octulosonic acid transferase	Lipopolysaccharide biosynthesis
rxn13879	3-deoxy-D-manno-octulosonic acid transferase	Lipopolysaccharide biosynthesis
rxn03916	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	Lipopolysaccharide biosynthesis
rxn03918	D-glycero-D-manno-heptose 7-phosphate kinase	Lipopolysaccharide biosynthesis
rxn13867	alpha 1,3-glucosyltransferase	Lipopolysaccharide biosynthesis
rxn13866	alpha 1,3-glucosyltransferase	Lipopolysaccharide biosynthesis
rxn13869	b-D-glucosyltransferase	Lipopolysaccharide biosynthesis
rPY00222	heptosyltransferase I	Lipopolysaccharide biosynthesis
rPY00221	heptosyltransferase II	Lipopolysaccharide biosynthesis
rxn13899	Rha-(a1,3)-GlcNac-pyrophosphorylundecaprenol synthesis	Lipopolysaccharide biosynthesis
rxn13900	Rha-(a1,3)-Rha-(a1,3)-Rha-(a1,3)-GlcNac-pyrophosphorylundecaprenol synthesis	Lipopolysaccharide biosynthesis
rxn13901	A-band O-antigen synthesis	Lipopolysaccharide biosynthesis
rxn13868	L-rhamnotransferase	Lipopolysaccharide biosynthesis
rxn13876	Pseudomonas aeruginosa LPS A-band synthesis	Lipopolysaccharide biosynthesis
rxn13871	Pseudomonas aeruginosa LPS lumped L-ala and CONH2 addition reaction	Lipopolysaccharide biosynthesis
rxn13926	UDP-N-acetyl-mannosamine (2NAc3N) acid (CH3C=NH) addase	Lipopolysaccharide biosynthesis
rxn00211	UDPglucose 6-dehydrogenase	Starch and sucrose metabolism
rxn13299	Glycogen phosphorylase	Starch and sucrose metabolism
rxn01134	MTI	Starch and sucrose metabolism
rxn13643	glycogen synthase (ADPGlc)	Starch and sucrose metabolism
rxn00007	Alpha,alpha-trehalase	Starch and sucrose metabolism
rxn00695	Glucose-1-phosphate adenylyltransferase	Starch and sucrose metabolism
rxn02312	Adenosylmethionine-8-amino-7-oxononanoate transaminase	Biotin metabolism
rxn00796	Biotin synthase	Biotin metabolism
rxn02297	8-amino-7-oxononanoate synthase	Biotin metabolism
rxn02277	Dethiobiotin synthase	Biotin metabolism
rxn00792	Biotin acetyl CoA carboxylase ligase	Biotin metabolism
rxn02866	MBCOAi	Valine, leucine and isoleucine degradation
rxn01480	3 hydroxyisobutyrate dehydrogenase	Valine, leucine and isoleucine degradation
rxn02270	ACOADH1	Valine, leucine and isoleucine degradation
rxn02933	HACD9	Valine, leucine and isoleucine degradation
rxn00806	Leucine transaminase	Valine, leucine and isoleucine degradation
rxn02889	MCCC	Valine, leucine and isoleucine degradation
rxn08043	2-aceto-2-hydroxybutanoate synthase	Valine, leucine and isoleucine degradation
rxn02934	ECOAH9ir	Valine, leucine and isoleucine degradation
rxn02271	S-(2-Methylbutanoyl)-dihydrolipoamide	Valine, leucine and isoleucine degradation
rxn02867	S-(3-Methylbutanoyl)-dihydrolipoamide	Valine, leucine and isoleucine degradation
rxn00676	MACCOAT	Valine, leucine and isoleucine degradation
rxn01504	MGCH	Valine, leucine and isoleucine degradation
rxn01245	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring).	Valine, leucine and isoleucine degradation
rxn02950	3-Methyl-2-oxopentanoate:lipoamide oxidoreductase(decarboxylating and acceptor-2-methylpropanoylating)	Valine, leucine and isoleucine degradation
rxn01575	Isoleucine transaminase	Valine, leucine and isoleucine degradation
rxn00903	Valine transaminase	Valine, leucine and isoleucine degradation
rxn02268	acyl-CoA dehydrogenase (2-methylbutnoyl-CoA)	Valine, leucine and isoleucine degradation
rxn00506	Aldehyde dehydrogenase (acetaldehyde, NAD)	Pyruvate metabolism
rxn00604	Glucose 6-phosphate dehydrogenase	Pyruvate metabolism
rxn10902	glucose 6-phosphate dehydrogenase (NAD+)	Pyruvate metabolism
rxn01053	lactaldehyde dehydrogenase	Pyruvate metabolism
rxn00159	Malic enzyme (NAD)	Pyruvate metabolism
rxn00161	Malic enzyme (NADP)	Pyruvate metabolism
rxn00500	D-lactate dehydrogenase	Pyruvate metabolism
rxn00935	(S)-Malate(acceptor) oxidoreductase	Pyruvate metabolism
rxn00225	Acetate kinase	Pyruvate metabolism
rxn00175	Acetyl-CoA synthetase	Pyruvate metabolism
rxn01834	Lactoylglutathione lyase	Pyruvate metabolism
rxn00148	Pyruvate kinase	Pyruvate metabolism
rxn00162	Oxaloacetate decarboxylase	Pyruvate metabolism
rxn00147	Phosphoenolpyruvate synthase	Pyruvate metabolism
rxn06673	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)	Pyruvate metabolism
rxn09167	Pyruvate oxidase	Pyruvate metabolism
rxn37076	pyruvate oxidase	Pyruvate metabolism
rxn00763	Alcohol dehydrogenase (glycerol)	Glycerolipid metabolism
rxn08087	1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	Glycerolipid metabolism
rxn08086	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	Glycerolipid metabolism
rxn08089	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	Glycerolipid metabolism
rxn08088	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	Glycerolipid metabolism
rxn08085	1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)	Glycerolipid metabolism
rxn08083	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	Glycerolipid metabolism
rxn08084	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	Glycerolipid metabolism
