abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
rxn03253	Acyl-CoA dehydrogenase (decanoyl-CoA)	[c] : cpd00015 + cpd03128 --> cpd00982 + cpd03129	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31580)	
rxn02720	Acyl-CoA dehydrogenase (dodecanoyl-CoA)	[c] : cpd00015 + cpd01260 --> cpd00982 + cpd02060	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31580)	
rxn00946	Acyl-CoA dehydrogenase (hexadecanoyl-CoA)	[c] : cpd00015 + cpd00134 --> cpd00982 + cpd03126	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31580)	
rxn02679	Acyl-CoA dehydrogenase (octanoyl-CoA)	[c] : cpd00015 + cpd01335 --> cpd00982 + cpd03130	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31580)	
rxn02803	Acyl-CoA dehydrogenase (tetradecanoyl-CoA)	[c] : cpd00015 + cpd01695 --> cpd00982 + cpd03127	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31580)	
rxn03251	Acyl-CoA dehydrogenase (hexanoyl-CoA)	[c] : cpd00015 + cpd03124 --> cpd00982 + cpd03125	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31540)	
rxn00872	Acyl-CoA dehydrogenase (butanoyl-CoA)	[c] : cpd00015 + cpd00120 --> cpd00982 + cpd00650	Irreversible	cytosol	0	1000	0	(G_PA14_52900 or G_PA14_06600 or G_PA14_31540)	
rxn01451	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	[c] : cpd00003 + cpd00842 <==> cpd00004 + cpd00067 + cpd00279	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn03242	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	[c] : cpd00003 + cpd03116 <==> cpd00004 + cpd00067 + cpd03117	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn03239	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	[c] : cpd00003 + cpd03113 <==> cpd00004 + cpd00067 + cpd03114	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
